gene_id,L10-WT1,L10-WT3,L10-WT2,L10-WT4,p6-WT2,p6-WT4,p6-WT1,L1-WT4,L1-WT1,L1-WT2
ENSMUSG00000005886,432,864,547,346,895,1050,763,1659,1384,1184
ENSMUSG00000103506,0,14,4,4,14,29,18,30,21,17
ENSMUSG00000103495,4,17,6,6,23,41,38,51,56,39
ENSMUSG00000099183,0,4,0,0,4,5,2,2,2,1
ENSMUSG00000102639,0,3,1,1,5,10,5,15,12,16
ENSMUSG00000104170,3,23,7,8,21,43,37,36,40,26
ENSMUSG00000087782,0,3,0,1,1,6,3,5,7,3
ENSMUSG00000103085,10,77,19,10,80,148,120,125,144,88
ENSMUSG00000102664,6,29,13,14,36,70,54,81,76,49
ENSMUSG00000101476,0,0,0,0,0,1,0,1,1,0
ENSMUSG00000101171,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000025935,3852,4616,4009,2952,896,1196,523,4855,11185,9481
ENSMUSG00000025937,228,382,259,215,220,266,132,354,558,392
ENSMUSG00000102982,2,17,6,4,14,12,9,20,21,23
ENSMUSG00000067813,17,72,49,31,0,1,0,0,1,0
ENSMUSG00000077368,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000097711,0,0,1,0,2,1,0,2,1,0
ENSMUSG00000102166,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000089358,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104209,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000025932,5,15,2,2,16,23,37,30,19,19
ENSMUSG00000095853,0,0,0,0,1,1,0,0,1,0
ENSMUSG00000102588,0,0,0,0,3,1,1,0,2,0
ENSMUSG00000054493,0,4,2,2,3,8,4,1,2,4
ENSMUSG00000025930,2,6,2,1,26,35,19,35,13,12
ENSMUSG00000103492,0,1,0,1,4,7,4,3,1,0
ENSMUSG00000081201,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000082193,0,2,2,3,4,3,0,4,5,4
ENSMUSG00000032769,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000088159,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000073737,0,0,0,0,0,1,1,0,1,0
ENSMUSG00000092083,0,0,0,0,1,0,0,0,0,1
ENSMUSG00000102937,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104149,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000088829,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000077377,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101652,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000100814,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025925,40,72,40,24,151,154,121,158,160,130
ENSMUSG00000104379,2,3,1,1,47,16,8,10,11,10
ENSMUSG00000032719,2,2,2,2,41,14,2,7,8,12
ENSMUSG00000088943,0,0,0,0,0,1,1,1,0,0
ENSMUSG00000100652,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000067795,0,0,1,0,4,0,1,0,0,1
ENSMUSG00000043716,3019,3573,2769,2308,4282,4590,1683,8080,9411,8098
ENSMUSG00000025921,101,149,74,73,189,182,91,208,226,202
ENSMUSG00000104165,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000100868,0,3,3,2,4,8,4,6,5,3
ENSMUSG00000025920,68,152,88,80,223,197,149,260,250,205
ENSMUSG00000089982,1,4,2,1,6,5,3,3,6,4
ENSMUSG00000025939,104,184,118,90,326,258,213,456,415,401
ENSMUSG00000102457,0,2,0,1,3,4,1,4,5,4
ENSMUSG00000079658,170,197,140,131,210,207,102,426,536,440
ENSMUSG00000097744,0,5,1,0,0,1,0,2,3,2
ENSMUSG00000100959,0,0,0,0,0,0,1,0,1,0
ENSMUSG00000025940,171,237,136,147,176,202,81,316,470,315
ENSMUSG00000025779,146,150,118,91,16,24,23,168,225,151
ENSMUSG00000100093,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000091020,0,1,0,0,1,3,0,0,0,2
ENSMUSG00000101640,0,0,0,0,0,1,0,1,0,1
ENSMUSG00000104133,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000042686,18,40,30,16,85,121,64,44,52,59
ENSMUSG00000100110,0,0,0,0,0,1,0,0,0,0
ENSMUSG00000025777,0,0,0,0,3,8,2,2,2,5
ENSMUSG00000099899,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100272,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100398,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101589,0,2,1,0,1,2,1,0,5,2
ENSMUSG00000102048,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000089534,0,0,0,1,0,0,0,0,0,0
ENSMUSG00000067780,7,11,14,23,140,56,33,165,169,186
ENSMUSG00000100053,0,3,0,1,13,8,4,5,9,8
ENSMUSG00000085125,1,6,3,4,26,36,18,15,31,18
ENSMUSG00000025776,35,41,23,31,323,325,46,112,190,148
ENSMUSG00000099895,1,2,0,0,3,4,1,1,1,3
ENSMUSG00000100554,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000099473,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000099591,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102001,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101717,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025774,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000070977,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000073735,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000067773,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101685,0,0,0,0,1,0,2,1,0,0
ENSMUSG00000101738,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101306,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000088800,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101644,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000099433,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000089787,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000042596,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100720,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000025927,19,43,55,45,754,231,259,290,342,325
ENSMUSG00000100538,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101117,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100204,0,0,1,0,3,0,1,1,2,1
ENSMUSG00000084668,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102597,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000043760,0,0,0,0,35,1,11,0,1,2
ENSMUSG00000104095,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000089914,0,0,0,0,4,0,0,0,0,0
ENSMUSG00000090142,0,0,0,1,4,0,0,0,0,0
ENSMUSG00000070175,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000065559,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000099906,0,0,0,0,0,2,2,0,0,0
ENSMUSG00000065480,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025929,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000041872,0,0,0,0,1,1,0,0,0,0
ENSMUSG00000041859,19,21,12,23,336,447,161,131,482,535
ENSMUSG00000099714,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102121,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000088858,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000097934,1,1,0,0,1,0,3,0,1,0
ENSMUSG00000025931,6,22,11,4,35,45,13,27,36,43
ENSMUSG00000077314,0,1,0,0,1,0,0,0,0,0
ENSMUSG00000100929,0,0,0,0,0,1,1,1,0,0
ENSMUSG00000041809,4,5,4,2,20,28,17,32,28,21
ENSMUSG00000041779,29,94,45,38,271,263,137,335,324,344
ENSMUSG00000099971,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100819,0,0,0,0,3,1,5,2,0,3
ENSMUSG00000025933,6,10,4,4,23,17,6,8,17,22
ENSMUSG00000102633,0,1,1,1,3,3,2,5,2,1
ENSMUSG00000025934,613,254,95,102,78,98,23,135,219,152
ENSMUSG00000099343,3,1,0,0,0,1,0,0,5,2
ENSMUSG00000096375,0,0,1,0,0,0,0,0,0,0
ENSMUSG00000025936,1,0,0,1,3,7,3,3,2,4
ENSMUSG00000093963,0,1,0,0,0,0,1,2,1,0
ENSMUSG00000067750,0,1,0,0,1,1,0,2,1,0
ENSMUSG00000086194,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000094436,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000041722,0,0,0,0,0,0,0,0,0,2
ENSMUSG00000085507,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000094926,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000085079,0,0,0,1,0,0,1,1,2,0
ENSMUSG00000085679,0,0,0,0,0,1,0,0,1,0
ENSMUSG00000028033,9,21,16,15,75,122,68,81,135,82
ENSMUSG00000104138,0,3,0,0,1,14,4,5,14,6
ENSMUSG00000082935,1,0,0,2,12,6,5,3,10,3
ENSMUSG00000103748,0,9,2,1,9,14,17,11,19,7
ENSMUSG00000097109,4,3,0,1,15,28,23,31,21,20
ENSMUSG00000099692,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100418,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000041670,0,0,0,0,1,1,1,0,1,0
ENSMUSG00000097642,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101468,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101227,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000073730,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000089553,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102766,1,0,0,0,0,3,0,2,4,2
ENSMUSG00000065405,1,4,2,1,2,5,3,10,4,2
ENSMUSG00000097970,2,23,17,3,33,38,29,46,66,43
ENSMUSG00000065567,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100775,0,1,0,1,1,2,0,3,14,1
ENSMUSG00000101226,0,0,0,1,0,1,0,0,0,0
ENSMUSG00000026158,1199,2359,1697,1342,959,2802,1757,9882,2945,2533
ENSMUSG00000097920,0,2,1,0,3,24,6,4,1,0
ENSMUSG00000099503,0,0,0,0,0,0,0,0,1,1
ENSMUSG00000026156,8,48,22,11,28,48,38,78,90,64
ENSMUSG00000026155,102,157,98,100,160,158,83,343,396,314
ENSMUSG00000026154,29,54,35,14,47,35,16,53,70,54
ENSMUSG00000102495,0,0,0,0,0,0,0,1,1,0
ENSMUSG00000026153,86,166,110,78,343,303,239,438,431,368
ENSMUSG00000102398,0,0,0,0,0,1,0,2,1,0
ENSMUSG00000097670,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026147,306,749,483,381,46,117,122,5083,5619,6459
ENSMUSG00000026141,0,3,1,0,5,2,6,17,8,6
ENSMUSG00000077463,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000099997,0,0,0,0,0,3,0,2,0,4
ENSMUSG00000100131,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000067736,0,0,1,0,0,1,0,0,0,0
ENSMUSG00000101939,23,106,43,35,32,57,24,60,89,33
ENSMUSG00000101111,0,3,1,1,0,1,4,1,6,1
ENSMUSG00000100862,0,2,0,0,1,4,0,4,2,0
ENSMUSG00000102070,0,1,1,1,0,0,0,1,1,1
ENSMUSG00000101249,1,1,0,1,0,3,2,2,5,0
ENSMUSG00000073725,306,508,336,229,404,431,269,743,747,574
ENSMUSG00000100808,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100483,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100450,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000099392,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000033569,0,0,0,0,0,1,5,1,1,1
ENSMUSG00000080849,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104257,0,0,0,0,0,0,1,1,0,0
ENSMUSG00000096866,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102296,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103209,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104027,0,0,0,0,0,0,0,1,0,0
ENSMUSG00000102407,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103214,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000104100,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000084740,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103889,0,0,0,0,0,1,0,0,0,0
ENSMUSG00000101301,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104221,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000102250,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102317,0,0,0,0,0,0,0,1,0,0
ENSMUSG00000103563,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000102465,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102659,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103924,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000104132,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000102747,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102386,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103004,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104516,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101618,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000099458,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000088111,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000073722,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000095256,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100310,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101514,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000101033,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101372,0,0,0,0,2,0,0,0,0,0
ENSMUSG00000103241,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086240,1,1,0,0,3,0,0,1,2,1
ENSMUSG00000048411,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000081557,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000058590,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101235,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064433,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000080625,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000080391,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000099257,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000099492,1,4,0,1,9,8,6,4,3,6
ENSMUSG00000101726,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000096829,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000098883,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000053185,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100261,0,0,0,0,1,1,1,2,0,0
ENSMUSG00000101180,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000048874,688,1029,701,477,1155,1148,787,2070,1983,1564
ENSMUSG00000103783,4,18,9,10,18,43,36,45,62,47
ENSMUSG00000104315,9,34,14,15,76,81,64,91,67,68
ENSMUSG00000026064,132,220,151,110,414,347,195,765,739,622
ENSMUSG00000086151,0,0,0,0,0,1,0,0,1,0
ENSMUSG00000086726,0,0,0,0,2,0,0,0,0,0
ENSMUSG00000087346,0,0,0,0,1,0,1,0,0,0
ENSMUSG00000100371,1,0,1,0,12,4,8,3,3,3
ENSMUSG00000100237,1,1,0,0,3,4,4,6,5,2
ENSMUSG00000098529,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086727,0,0,0,0,0,0,0,0,2,0
ENSMUSG00000100910,0,0,0,0,1,2,1,4,2,0
ENSMUSG00000099796,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000050217,0,0,0,0,0,0,0,1,0,1
ENSMUSG00000026063,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000077664,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100205,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100592,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000094215,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101093,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000070960,2,2,1,1,1,3,1,2,0,2
ENSMUSG00000088620,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000082159,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026058,0,1,0,0,0,0,0,1,1,0
ENSMUSG00000064688,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103482,0,0,0,0,2,0,0,0,0,0
ENSMUSG00000104498,0,0,0,0,0,1,0,0,0,0
ENSMUSG00000104313,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102865,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102321,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000091318,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000089489,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104433,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000089395,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102926,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100497,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102917,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100481,0,0,1,0,1,1,1,2,1,0
ENSMUSG00000100590,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000088750,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000104230,0,0,0,0,0,0,0,0,0,0
